BRAND,STATE,TALUKA,DISTRICT,COUNTER_CODE,LAT,LONG,COUNTER_POTENTIAL
SHREE,Delhi,ALIPUR,DELHI,231905,28.697026,77.188653,800
SHREE,Delhi,ALIPUR,DELHI,804845,28.740567,77.197827,800
SHREE,Delhi,ALIPUR,DELHI,779636,28.702268,77.0598642,250
SHREE,Delhi,ALIPUR,DELHI,845000,28.730799,77.163785,300
BANGUR,Delhi,ALIPUR,DELHI,873226,28.68172,77.154218,225
ROCKSTRONG,Delhi,ALIPUR,DELHI,898108,28.83324793,77.17914195,100
ROCKSTRONG,Delhi,CIVIL LINES,DELHI,311658,28.772042,77.173301,250
SHREE,Delhi,CIVIL LINES,DELHI,1569,28.60997,77.07485,250
SHREE,Delhi,CIVIL LINES,DELHI,826767,28.663109,77.181505,800
SHREE,Delhi,CIVIL LINES,DELHI,86158,28.821809,77.169878,700
SHREE,Delhi,CIVIL LINES,DELHI,857224,28.724162,77.222051,450
SHREE,Delhi,CIVIL LINES,DELHI,899761,28.71558,77.21619,100
BANGUR,Delhi,CIVIL LINES,DELHI,906522,28.68089,77.135356,3000
SHREE,Delhi,DEFENCE COLONY,DELHI,867303,28.5820837,77.2511732,1500
SHREE,Delhi,DELHI CONTONMENT,DELHI,850444,28.60776864,77.06857813,150
SHREE,Delhi,DELHI CONTONMENT,DELHI,856040,28.612971,77.315315,1000
SHREE,Delhi,DELHI CONTONMENT,DELHI,633844,28.594382,77.047718,700
BANGUR,Delhi,DELHI CONTONMENT,DELHI,849594,28.591146,77.088965,150
BANGUR,Delhi,DWARKA,DELHI,300740,28.615205,77.056764,1200
BANGUR,Delhi,DWARKA,DELHI,838903,28.611778,77.3022168,3000
BANGUR,Delhi,DWARKA,DELHI,889010,28.58401922,77.05697318,300
BANGUR,Delhi,DWARKA,DELHI,9336,28.617801,77.061141,1000
BANGUR,Delhi,DWARKA,DELHI,845770,28.57328,77.076461,3000
BANGUR,Delhi,DWARKA,DELHI,857084,28.605044,77.102996,200
BANGUR,Delhi,DWARKA,DELHI,887739,28.627177,77.061228,2500
BANGUR,Delhi,DWARKA,DELHI,263836,28.576847,77.02742,400
BANGUR,Delhi,DWARKA,DELHI,626739,28.320587,77.049979,150
BANGUR,Delhi,DWARKA,DELHI,752884,28.65486,77.03975,350
BANGUR,Delhi,DWARKA,DELHI,845559,28.618835,77.061776,150
BANGUR,Delhi,DWARKA,DELHI,875773,28.723278,77.075042,100
BANGUR,Delhi,DWARKA,DELHI,858915,28.638886,77.032609,1500
BANGUR,Delhi,DWARKA,DELHI,847062,28.618228,77.062324,200
BANGUR,Delhi,DWARKA,DELHI,813317,28.615205,77.056764,1200
BANGUR,Delhi,DWARKA,DELHI,813594,28.617801,77.061141,1000
BANGUR,Delhi,DWARKA,DELHI,819889,28.627317,77.056536,200
BANGUR,Delhi,DWARKA,DELHI,811209,28.576847,77.02742,400
BANGUR,Delhi,DWARKA,DELHI,860873,28.320587,77.049979,150
BANGUR,Delhi,DWARKA,DELHI,812863,28.65486,77.03975,350
BANGUR,Delhi,DWARKA,DELHI,875780,28.723278,77.075042,100
SHREE,Delhi,DWARKA,DELHI,1195,28.611778,77.3022168,3000
SHREE,Delhi,DWARKA,DELHI,848730,28.556038,77.960121,100
SHREE,Delhi,DWARKA,DELHI,238504,28.60307,77.10542,400
SHREE,Delhi,DWARKA,DELHI,801865,28.640406,76.977226,200
SHREE,Delhi,DWARKA,DELHI,855404,28.744031,77.145695,700
SHREE,Delhi,DWARKA,DELHI,861427,28.62973,77.03208,250
SHREE,Delhi,DWARKA,DELHI,863755,28.57571283,77.08412678,4800
SHREE,Delhi,DWARKA,DELHI,764457,28.604951,76.972001,250
SHREE,Delhi,DWARKA,DELHI,847294,28.4968484,77.1852137,150
SHREE,Delhi,DWARKA,DELHI,61360,28.60093,77.03253,4000
SHREE,Delhi,DWARKA,DELHI,860923,28.602993,77.105469,900
SHREE,Delhi,DWARKA,DELHI,706087,28.61009,77.01854,350
SHREE,Delhi,DWARKA,DELHI,810161,28.597931,77.092921,600
SHREE,Delhi,DWARKA,DELHI,2006,28.58342,77.875383,250
SHREE,Delhi,DWARKA,DELHI,31139,28.584988,77.058578,250
SHREE,Delhi,DWARKA,DELHI,1514,28.596486,77.027618,600
SHREE,Delhi,DWARKA,DELHI,861898,28.65486,77.03975,300
SHREE,Delhi,DWARKA,DELHI,854990,28.639791,77.03899,300
SHREE,Delhi,DWARKA,DELHI,692081,28.570851,77.079593,100
SHREE,Delhi,DWARKA,DELHI,1992,28.546259,77.09757,1000
SHREE,Delhi,DWARKA,DELHI,846875,28.649156,77.051467,50
SHREE,Delhi,DWARKA,DELHI,873043,28.6645099,77.0588574,200
SHREE,Delhi,DWARKA,DELHI,292864,28.687294,77.114908,1000
SHREE,Delhi,DWARKA,DELHI,771570,28.636351,77.071186,150
SHREE,Delhi,DWARKA,DELHI,850439,28.627177,77.061228,2500
SHREE,Delhi,DWARKA,DELHI,902539,28.698951,77.191452,250
SHREE,Delhi,DWARKA,DELHI,150523,28.659369,77.126356,1200
SHREE,Delhi,DWARKA,DELHI,886656,28.63805,77.051342,150
SHREE,Delhi,DWARKA,DELHI,699180,28.661599,77.118475,250
SHREE,Delhi,DWARKA,DELHI,830511,28.678649,77.134591,1600
SHREE,Delhi,DWARKA,DELHI,1326,28.612881,77.110163,1100
SHREE,Delhi,DWARKA,DELHI,328345,28.699619,77.051686,1500
SHREE,Delhi,DWARKA,DELHI,111338,28.618384,77.024118,1000
SHREE,Delhi,DWARKA,DELHI,830850,28.616664,76.983388,250
ROCKSTRONG,Delhi,DWARKA,DELHI,310408,28.6099609,77.03176541,100
ROCKSTRONG,Delhi,DWARKA,DELHI,862655,28.69605,77.150441,1000
ROCKSTRONG,Delhi,DWARKA,DELHI,853354,28.57571283,77.08412678,4800
ROCKSTRONG,Delhi,DWARKA,DELHI,860071,28.576635,77.078534,100
ROCKSTRONG,Delhi,DWARKA,DELHI,753885,28.6092,77.010615,500
ROCKSTRONG,Delhi,DWARKA,DELHI,874249,28.667041,77.066762,100
ROCKSTRONG,Delhi,DWARKA,DELHI,74876,28.60318,77.06024,150
ROCKSTRONG,Delhi,DWARKA,DELHI,829935,28.674479,77.079131,200
ROCKSTRONG,Delhi,DWARKA,DELHI,479338,28.638886,77.032609,1500
ROCKSTRONG,Delhi,HAUZ KHAS,DELHI,654855,28.5476532,77.2147921,15
SHREE,Delhi,HAUZ KHAS,DELHI,683148,28.561081,77.209865,250
SHREE,Delhi,HAUZ KHAS,DELHI,781832,28.4605055,77.1492275,200
SHREE,Delhi,KARAWAL NAGAR,DELHI,853421,28.7248265,77.2801284,500
SHREE,Delhi,KARAWAL NAGAR,DELHI,276041,28.70835,77.26243,100
SHREE,Delhi,KARAWAL NAGAR,DELHI,291054,28.7045039,77.2691546,750
SHREE,Delhi,KARAWAL NAGAR,DELHI,884826,28.621147,77.306527,250
SHREE,Delhi,KARAWAL NAGAR,DELHI,806367,28.738636,77.253748,500
BANGUR,Delhi,KARAWAL NAGAR,DELHI,9371,28.70467,77.27492,200
BANGUR,Delhi,KARAWAL NAGAR,DELHI,848427,28.72088,77.26504,100
BANGUR,Delhi,KAROL BAGH,DELHI,838945,28.695255,77.10076,445
BANGUR,Delhi,KAROL BAGH,DELHI,875418,28.702746,77.122908,500
BANGUR,Delhi,KAROL BAGH,DELHI,843932,28.745291,77.097864,391
BANGUR,Delhi,KAROL BAGH,DELHI,867831,28.698018,77.130874,150
BANGUR,Delhi,KAROL BAGH,DELHI,686293,28.64164,77.23551,800
BANGUR,Delhi,KAROL BAGH,DELHI,851688,28.656943,77.222766,138
BANGUR,Delhi,KAROL BAGH,DELHI,906521,28.702744,77.122885,1500
ROCKSTRONG,Delhi,KAROL BAGH,DELHI,276401,28.824814,77.172236,300
ROCKSTRONG,Delhi,KAROL BAGH,DELHI,759160,28.67775097,77.13489155,100
SHREE,Delhi,KAROL BAGH,DELHI,78418,28.769301,77.177593,350
SHREE,Delhi,KAROL BAGH,DELHI,896612,28.762323,77.186461,200
SHREE,Delhi,KAROL BAGH,DELHI,786162,28.65473095,77.13646344,95
SHREE,Delhi,KAROL BAGH,DELHI,288186,28.707853,77.224711,300
SHREE,Delhi,KAROL BAGH,DELHI,1422,28.745622,77.202113,950
SHREE,Delhi,KAROL BAGH,DELHI,1718,28.682809,77.197828,50
SHREE,Delhi,KAROL BAGH,DELHI,898902,28.756729,77.139252,550
SHREE,Delhi,KAROL BAGH,DELHI,849182,28.696052,77.1504417,150
SHREE,Delhi,KAROL BAGH,DELHI,753902,28.774739,77.191221,700
SHREE,Delhi,KOTWALI,DELHI,849184,28.673763,77.18441686,300
SHREE,Delhi,KOTWALI,DELHI,311563,28.60093,77.03253,300
SHREE,Delhi,KOTWALI,DELHI,886545,28.756729,77.139252,550
SHREE,Delhi,KOTWALI,DELHI,905336,28.762323,77.186461,200
SHREE,Delhi,KOTWALI,DELHI,302176,28.6685583,77.1491277,1250
ROCKSTRONG,Delhi,KOTWALI,DELHI,882822,28.6908349,77.1530101,2000
ROCKSTRONG,Delhi,KOTWALI,DELHI,293568,28.7247937,77.0624,2000
ROCKSTRONG,Delhi,MAYUR VIHAR,DELHI,777774,28.6143704,77.33002684,100
ROCKSTRONG,Delhi,MAYUR VIHAR,DELHI,845605,28.63806861,77.32050559,250
ROCKSTRONG,Delhi,MAYUR VIHAR,DELHI,775743,28.69462,77.301476,6000
ROCKSTRONG,Delhi,MAYUR VIHAR,DELHI,846208,28.6349467,77.3101583,300
ROCKSTRONG,Delhi,MAYUR VIHAR,DELHI,877489,28.624675,77.285679,4000
SHREE,Delhi,MAYUR VIHAR,DELHI,773692,28.69462,77.301476,6000
SHREE,Delhi,MAYUR VIHAR,DELHI,1807,28.6599952,77.2729823,1000
SHREE,Delhi,MAYUR VIHAR,DELHI,845140,28.667127,77.308739,3500
SHREE,Delhi,MAYUR VIHAR,DELHI,881367,28.67057215,77.28474568,400
SHREE,Delhi,MAYUR VIHAR,DELHI,898801,28.6094073,77.3365703,350
SHREE,Delhi,MAYUR VIHAR,DELHI,815937,28.6678,77.372357,150
SHREE,Delhi,MAYUR VIHAR,DELHI,624599,28.591004,77.037114,50
SHREE,Delhi,MAYUR VIHAR,DELHI,798867,28.69015125,77.33557918,2500
SHREE,Delhi,MAYUR VIHAR,DELHI,759325,28.594836,77.312136,200
SHREE,Delhi,MAYUR VIHAR,DELHI,874902,28.611778,77.3022168,1000
SHREE,Delhi,MAYUR VIHAR,DELHI,871083,28.70339,77.26214,500
SHREE,Delhi,MAYUR VIHAR,DELHI,888068,28.685187,77.291841,150
SHREE,Delhi,MAYUR VIHAR,DELHI,769641,28.67003,77.29928,700
SHREE,Delhi,MAYUR VIHAR,DELHI,777043,28.624675,77.285679,4000
SHREE,Delhi,MAYUR VIHAR,DELHI,690161,28.664252,77.283241,4500
SHREE,Delhi,MAYUR VIHAR,DELHI,759065,28.6317697,77.2954458,500
SHREE,Delhi,MAYUR VIHAR,DELHI,97317,28.6210635,77.3065395,1000
SHREE,Delhi,MAYUR VIHAR,DELHI,888669,28.661916,77.286989,7000
SHREE,Delhi,MAYUR VIHAR,DELHI,846145,28.646761,77.296021,600
SHREE,Delhi,MAYUR VIHAR,DELHI,1831,28.681691,77.329604,1000
BANGUR,Delhi,MAYUR VIHAR,DELHI,853599,28.592689,77.309043,150
BANGUR,Delhi,MAYUR VIHAR,DELHI,883417,28.6127994,77.3123079,100
BANGUR,Delhi,MAYUR VIHAR,DELHI,877146,28.6131804,77.3294133,40
BANGUR,Delhi,MAYUR VIHAR,DELHI,902534,28.625846,77.297688,60
BANGUR,Delhi,MAYUR VIHAR,DELHI,786002,28.702634,77.12172,50
BANGUR,Delhi,MEHRAULI,DELHI,806945,28.510495,77.177388,2500
BANGUR,Delhi,MEHRAULI,DELHI,875304,28.566871,77.169588,100
ROCKSTRONG,Delhi,MEHRAULI,DELHI,811676,28.51044639,77.17752085,2500
ROCKSTRONG,Delhi,MEHRAULI,DELHI,786786,28.4587575,77.1793262,5000
SHREE,Delhi,MEHRAULI,DELHI,835138,28.4871112,77.18574,200
SHREE,Delhi,MEHRAULI,DELHI,699178,28.5846523,77.1659373,200
SHREE,Delhi,MEHRAULI,DELHI,879359,28.560589,77.1981184,200
SHREE,Delhi,MEHRAULI,DELHI,846756,28.495851,77.137867,100
SHREE,Delhi,MEHRAULI,DELHI,891655,28.4968484,77.1852137,100
SHREE,Delhi,MEHRAULI,DELHI,1515,28.70952,77.221165,50
SHREE,Delhi,MEHRAULI,DELHI,895316,28.439105,77.177257,100
SHREE,Delhi,MEHRAULI,DELHI,1238,28.49742,77.1456573,150
SHREE,Delhi,MEHRAULI,DELHI,312184,28.506646,77.185163,200
SHREE,Delhi,MEHRAULI,DELHI,175346,28.5175147,77.1783213,4000
SHREE,Delhi,MEHRAULI,DELHI,750954,28.4951011,77.1621422,150
SHREE,Delhi,MEHRAULI,DELHI,1921,28.4587575,77.1793262,5000
SHREE,Delhi,MODEL TOWN,DELHI,218018,28.721271,77.175822,85
SHREE,Delhi,MODEL TOWN,DELHI,863513,28.632267,77.148752,130
SHREE,Delhi,MODEL TOWN,DELHI,312641,28.65404,77.16286,200
SHREE,Delhi,MODEL TOWN,DELHI,782619,28.711954,77.221744,4200
SHREE,Delhi,MODEL TOWN,DELHI,846376,28.7104897,77.2235247,700
SHREE,Delhi,MODEL TOWN,DELHI,689064,28.65126174,77.13416898,400
ROCKSTRONG,Delhi,MODEL TOWN,DELHI,854926,28.695255,77.10076,500
SHREE,Delhi,NARELA,DELHI,852350,28.767551,77.049909,50
BANGUR,Delhi,NARELA,DELHI,240851,28.772106,77.117869,55
BANGUR,Delhi,PATEL NAGAR,DELHI,906048,28.688424,77.121495,500
BANGUR,Delhi,PATEL NAGAR,DELHI,811306,28.678654,77.134481,200
BANGUR,Delhi,PATEL NAGAR,DELHI,905357,28.688418,77.121475,2000
BANGUR,Delhi,PATEL NAGAR,DELHI,625649,28.681588,77.154355,2025
ROCKSTRONG,Delhi,PATEL NAGAR,DELHI,11806,28.681588,77.154355,2025
ROCKSTRONG,Delhi,PATEL NAGAR,DELHI,291300,28.68764473,77.19350742,100
SHREE,Delhi,PATEL NAGAR,DELHI,309547,28.718568,77.17246,300
SHREE,Delhi,PATEL NAGAR,DELHI,806240,28.671535,77.162481,100
SHREE,Delhi,PATEL NAGAR,DELHI,609710,28.716692,77.092379,2510
SHREE,Delhi,PATEL NAGAR,DELHI,849180,28.709897,77.205049,300
SHREE,Delhi,PATEL NAGAR,DELHI,828728,28.713025,77.06091,2000
SHREE,Delhi,PATEL NAGAR,DELHI,633854,28.70768,77.19106,150
SHREE,Delhi,PATEL NAGAR,DELHI,847588,28.702343,77.205573,400
SHREE,Delhi,PATEL NAGAR,DELHI,868893,28.844,77.089424,1115
SHREE,Delhi,PATEL NAGAR,DELHI,850541,28.655305,77.191709,250
SHREE,Delhi,PATEL NAGAR,DELHI,1594,28.678649,77.134591,3900
SHREE,Delhi,PATEL NAGAR,DELHI,759001,28.7247937,77.0624,1336
SHREE,Delhi,PUNJABI BAGH,DELHI,849733,28.692386,77.148048,400
SHREE,Delhi,PUNJABI BAGH,DELHI,886541,28.779114,77.177505,700
SHREE,Delhi,PUNJABI BAGH,DELHI,308578,28.750116,77.19891,400
SHREE,Delhi,PUNJABI BAGH,DELHI,899756,28.718957,77.17965,200
SHREE,Delhi,PUNJABI BAGH,DELHI,607506,28.7301748,77.2071497,150
SHREE,Delhi,PUNJABI BAGH,DELHI,867305,28.7516611,77.171277,150
SHREE,Delhi,PUNJABI BAGH,DELHI,291716,28.752358,77.169336,200
ROCKSTRONG,Delhi,PUNJABI BAGH,DELHI,726506,28.62945202,77.14998,200
ROCKSTRONG,Delhi,RAJOURI GARDEN,DELHI,774826,28.659369,77.126356,1200
ROCKSTRONG,Delhi,RAJOURI GARDEN,DELHI,286988,28.626835,77.050637,150
SHREE,Delhi,RAJOURI GARDEN,DELHI,1357,28.634272,77.113793,150
SHREE,Delhi,RAJOURI GARDEN,DELHI,759095,28.65116567,77.09391849,350
SHREE,Delhi,RAJOURI GARDEN,DELHI,830847,28.66313,77.093126,350
SHREE,Delhi,RAJOURI GARDEN,DELHI,828383,28.983371,76.999973,200
SHREE,Delhi,RAJOURI GARDEN,DELHI,850440,28.6585862,77.099542,400
SHREE,Delhi,RAJOURI GARDEN,DELHI,901655,28.61917172,77.05790581,100
SHREE,Delhi,RAJOURI GARDEN,DELHI,844756,28.694404,77.101807,250
SHREE,Delhi,RAJOURI GARDEN,DELHI,257949,28.634899,77.096332,4000
SHREE,Delhi,RAJOURI GARDEN,DELHI,208335,28.683555,77.111189,150
SHREE,Delhi,RAJOURI GARDEN,DELHI,2005,28.690456,77.271378,250
SHREE,Delhi,RAJOURI GARDEN,DELHI,699179,28.613545,77.085929,250
SHREE,Delhi,RAJOURI GARDEN,DELHI,905517,28.61352812,77.08571953,200
SHREE,Delhi,RAJOURI GARDEN,DELHI,784655,28.665194,77.07647,2500
SHREE,Delhi,RAJOURI GARDEN,DELHI,844737,28.707906,77.068648,250
SHREE,Delhi,RAJOURI GARDEN,DELHI,1998,28.65886,77.090671,150
SHREE,Delhi,RAJOURI GARDEN,DELHI,308410,28.667541,77.086092,6000
SHREE,Delhi,RAJOURI GARDEN,DELHI,846758,28.631141,77.040284,200
SHREE,Delhi,RAJOURI GARDEN,DELHI,672402,28.624001,77.031216,400
SHREE,Delhi,RAJOURI GARDEN,DELHI,698052,28.618322,77.040024,250
SHREE,Delhi,RAJOURI GARDEN,DELHI,727591,28.648975,77.021876,100
SHREE,Delhi,RAJOURI GARDEN,DELHI,901651,28.617434,77.028902,150
SHREE,Delhi,RAJOURI GARDEN,DELHI,692082,28.643463,77.080169,750
SHREE,Delhi,RAJOURI GARDEN,DELHI,844773,28.6183472,77.0400157,200
SHREE,Delhi,RAJOURI GARDEN,DELHI,868312,28.683997,77.179129,250
